elapsed_host_seconds,touch_state,serial_message
12.612,0,No touch detected...
12.814,0,No touch detected...
12.814,0,No touch detected...
12.814,0,No touch detected...
12.814,0,No touch detected...
13.017,0,No touch detected...
13.017,0,No touch detected...
13.017,0,No touch detected...
13.017,0,No touch detected...
13.220,0,No touch detected...
13.220,0,No touch detected...
13.220,0,No touch detected...
13.220,0,No touch detected...
13.425,0,No touch detected...
13.425,0,No touch detected...
13.425,0,No touch detected...
13.425,0,No touch detected...
13.627,0,No touch detected...
13.627,0,No touch detected...
13.627,0,No touch detected...
13.627,0,No touch detected...
13.832,0,No touch detected...
13.832,0,No touch detected...
13.832,0,No touch detected...
13.832,0,No touch detected...
14.033,0,No touch detected...
14.033,0,No touch detected...
14.033,0,No touch detected...
14.033,0,No touch detected...
14.236,0,No touch detected...
14.236,0,No touch detected...
14.236,0,No touch detected...
14.236,0,No touch detected...
14.442,0,No touch detected...
14.442,0,No touch detected...
14.442,0,No touch detected...
14.442,0,No touch detected...
14.644,0,No touch detected...
14.644,0,No touch detected...
14.644,0,No touch detected...
14.644,0,No touch detected...
14.847,0,No touch detected...
14.847,0,No touch detected...
14.847,0,No touch detected...
14.847,0,No touch detected...
15.052,0,No touch detected...
15.052,0,No touch detected...
15.052,0,No touch detected...
15.052,0,No touch detected...
15.052,0,No touch detected...
15.252,0,No touch detected...
15.252,0,No touch detected...
15.252,0,No touch detected...
15.252,0,No touch detected...
15.453,0,No touch detected...
15.453,0,No touch detected...
15.453,0,No touch detected...
15.453,0,No touch detected...
15.653,0,No touch detected...
15.653,0,No touch detected...
15.653,0,No touch detected...
15.653,0,No touch detected...
15.854,0,No touch detected...
15.854,0,No touch detected...
15.854,0,No touch detected...
15.854,0,No touch detected...
16.055,0,No touch detected...
16.055,0,No touch detected...
16.055,0,No touch detected...
16.055,0,No touch detected...
16.255,0,No touch detected...
16.255,0,No touch detected...
16.255,0,No touch detected...
16.255,0,No touch detected...
16.457,0,No touch detected...
16.457,0,No touch detected...
16.457,0,No touch detected...
16.457,0,No touch detected...
16.658,0,No touch detected...
16.658,0,No touch detected...
16.658,0,No touch detected...
16.658,0,No touch detected...
16.859,0,No touch detected...
16.859,0,No touch detected...
16.859,0,No touch detected...
16.859,0,No touch detected...
17.061,0,No touch detected...
17.061,0,No touch detected...
17.061,0,No touch detected...
17.061,0,No touch detected...
17.262,0,No touch detected...
17.262,0,No touch detected...
17.262,0,No touch detected...
17.262,0,No touch detected...
17.463,0,No touch detected...
17.463,0,No touch detected...
17.463,0,No touch detected...
17.463,0,No touch detected...
17.666,0,No touch detected...
17.666,0,No touch detected...
17.666,0,No touch detected...
17.666,0,No touch detected...
17.868,0,No touch detected...
17.868,0,No touch detected...
17.868,0,No touch detected...
17.868,0,No touch detected...
18.070,0,No touch detected...
18.070,0,No touch detected...
18.070,0,No touch detected...
18.070,0,No touch detected...
18.275,0,No touch detected...
18.275,0,No touch detected...
18.275,0,No touch detected...
18.275,0,No touch detected...
18.480,0,No touch detected...
18.480,0,No touch detected...
18.480,0,No touch detected...
18.480,0,No touch detected...
18.682,0,No touch detected...
18.682,0,No touch detected...
18.682,0,No touch detected...
18.682,0,No touch detected...
