elapsed_seconds,adc
0.415,0
0.622,0
0.622,0
0.833,0
0.833,0
1.043,0
1.043,0
1.253,0
1.253,0
1.459,0
1.459,0
1.669,0
1.669,0
1.879,0
1.879,0
2.089,0
2.089,0
2.299,0
2.299,0
2.500,0
2.500,0
2.500,0
2.701,0
2.701,0
2.901,0
2.901,0
3.102,0
3.102,0
3.303,0
3.303,0
3.504,0
3.504,0
3.706,0
3.706,0
3.909,0
3.909,0
4.114,0
4.114,0
4.321,0
4.321,0
4.530,0
4.530,0
4.737,0
4.737,0
4.940,0
4.940,0
5.144,0
5.144,0
5.348,0
5.348,0
5.552,0
5.552,0
5.762,0
5.762,0
5.972,0
5.972,0
6.182,0
6.182,0
6.390,0
6.390,0
6.600,0
6.600,0
6.801,0
6.801,0
6.801,0
7.001,0
7.001,0
7.202,0
7.202,0
7.403,0
7.403,0
7.604,0
7.604,0
7.807,0
7.807,0
8.010,0
8.010,0
8.215,0
8.215,0
8.422,0
8.422,0
8.632,0
8.632,0
8.843,0
8.843,0
9.052,0
9.052,0
9.263,0
9.263,0
9.463,0
9.463,0
9.673,0
9.674,0
9.880,0
9.880,0
10.082,0
10.082,0
10.293,0
10.293,0
10.500,0
10.500,0
10.500,0
10.701,0
10.701,0
10.901,0
10.901,0
11.102,0
11.102,0
11.303,0
11.303,0
11.504,0
11.504,0
11.707,0
11.707,0
11.910,0
11.910,0
12.116,0
12.116,0
12.324,0
12.324,0
12.527,0
12.527,0
12.738,0
12.738,0
12.948,0
12.948,0
13.156,0
13.156,0
13.367,0
13.367,0
13.573,0
13.573,0
13.775,0
13.775,0
13.985,0
13.985,0
14.195,0
14.195,0
14.401,0
14.401,0
14.401,0
14.601,0
14.601,0
14.802,0
14.802,0
15.002,0
15.002,0
15.204,0
15.204,0
15.406,0
15.406,0
15.608,0
15.608,0
15.813,0
15.813,0
16.019,0
16.019,0
16.229,0
16.229,0
16.439,0
16.439,0
16.649,0
16.650,0
16.860,0
16.860,0
17.061,0
17.061,0
17.262,0
17.262,0
17.473,0
17.473,0
17.679,0
17.679,0
17.885,0
17.885,0
18.088,0
18.089,0
18.299,0
18.299,0
18.500,0
18.500,0
18.500,0
18.700,0
18.700,0
18.901,0
18.901,0
19.101,0
19.101,0
19.302,0
19.302,0
19.503,0
19.503,0
19.704,0
19.704,0
19.904,0
19.904,0
20.105,0
20.105,0
20.307,0
20.307,0
20.509,0
20.509,0
20.710,0
20.710,0
20.912,0
20.912,0
21.114,0
21.114,0
21.318,0
21.318,0
21.519,0
21.520,0
21.721,0
21.721,0
21.926,0
21.926,0
22.129,0
22.129,0
22.335,0
22.335,0
22.536,0
22.536,0
22.741,0
22.742,0
22.943,0
22.943,0
23.149,0
23.149,0
23.353,0
23.353,0
23.555,0
23.555,0
23.761,0
23.761,0
23.966,0
23.966,0
24.169,0
24.169,0
24.374,0
24.375,0
24.577,0
24.577,0
24.782,0
24.782,0
24.984,0
24.984,0
25.189,0
25.189,0
25.392,0
25.392,0
25.593,0
25.594,0
25.799,0
25.799,0
26.001,0
26.001,0
26.001,0
26.201,0
26.201,0
26.401,0
26.401,0
26.602,0
26.602,0
26.802,0
26.802,0
27.003,0
27.003,0
27.204,0
27.204,0
27.406,0
27.406,0
27.607,0
27.607,0
27.809,0
27.809,0
28.010,0
28.010,0
28.213,0
28.213,0
28.416,0
28.416,0
28.620,0
